transaction_id,account_id,destino_id,tipo,valor,data_hora,canal
TRX0000039,ACC00081,ACC00082,TED,97.94,2026-05-28T15:07:37,APP
TRX0000040,ACC00026,,CARTAO,1264.25,2026-04-11T12:23:37,INTERNET_BANKING
TRX0000041,ACC00100,ACC00118,TED,514.14,2026-05-07T12:28:37,APP
TRX0000042,ACC00063,ACC00119,PIX,31595.58,2026-05-02T20:10:37,APP
TRX0000043,ACC00107,ACC00031,PIX,1439.5,2026-03-30T08:18:37,CAIXA
TRX0000044,ACC00113,ACC00011,TED,851.65,2026-04-14T20:38:37,APP
TRX0000045,ACC00063,,CARTAO,4101.59,2026-04-01T08:29:37,APP
TRX0000046,ACC00017,ACC00061,PIX,585.67,2026-03-20T20:25:37,APP
TRX0000047,ACC00022,ACC00112,TED,161.84,2026-05-02T09:28:37,APP
TRX0000048,ACC00028,ACC00097,PIX,1272.02,2026-05-20T01:59:37,APP
TRX0000049,ACC00026,,DEPOSITO,393.06,2026-05-09T15:29:37,APP
TRX0000050,ACC00084,,SAQUE,239.38,2026-04-26T20:25:37,APP
TRX0000051,ACC00016,ACC00009,TED,1138.74,2026-05-16T14:43:37,APP
TRX0000052,ACC00076,ACC00076,PIX,317.8,2026-05-13T12:13:37,ATM
TRX0000053,ACC00010,ACC00008,PIX,225.34,2026-04-04T07:43:37,APP
TRX0000054,ACC00116,ACC00043,PIX,322.09,2026-03-14T18:46:37,ATM
TRX0000055,ACC00031,ACC00063,PIX,1919.8,2026-04-04T22:19:37,CAIXA
TRX0000056,ACC00017,ACC00113,TED,100.29,2026-05-31T02:10:37,INTERNET_BANKING
TRX0000057,ACC00061,ACC00061,TED,500.07,2026-04-28T11:29:37,APP
TRX0000058,ACC00025,ACC00085,PIX,1710.0,2026-03-14T08:38:37,INTERNET_BANKING
TRX0000059,ACC00055,ACC00111,TED,370.45,2026-03-30T03:11:37,APP
TRX0000060,ACC00087,ACC00083,PIX,80.65,2026-04-02T04:05:37,APP
TRX0000061,ACC00052,ACC00103,PIX,258.77,2026-05-20T01:43:37,APP
TRX0000062,ACC00032,,DEPOSITO,252.62,2026-04-24T14:41:37,APP
TRX0000063,ACC00055,,CARTAO,575.03,2026-05-17T17:45:37,APP
TRX0000064,ACC00119,ACC00104,PIX,235.73,2026-05-18T22:06:37,INTERNET_BANKING
TRX0000065,ACC00071,ACC00084,PIX,1717.82,2026-05-06T12:54:37,APP
TRX0000066,ACC00108,,CARTAO,2646.05,2026-03-07T07:51:37,APP
TRX0000067,ACC00109,ACC00053,PIX,184.19,2026-03-24T08:49:37,APP
TRX0000068,ACC00028,,CARTAO,363.11,2026-03-20T01:19:37,APP
TRX0000069,ACCX61173,ACC00034,PIX,127.34,2026-03-12T02:32:37,INTERNET_BANKING
TRX0000070,ACC00101,ACC00055,PIX,167.01,2026-03-30T10:29:37,INTERNET_BANKING
TRX0000071,ACC00094,,BOLETO,418.58,2026-05-16T19:28:37,ATM
TRX0000072,ACC00063,ACC00038,TED,1496.67,2026-03-08T10:24:37,APP
TRX0000073,ACC00008,,SAQUE,296.2,2026-03-20T00:20:37,ATM
TRX0000074,ACC00041,ACC00075,PIX,394.49,2026-05-25T01:16:37,APP
TRX0000075,ACC00118,,CARTAO,1901.07,2026-05-06T06:14:37,CAIXA
TRX0000076,ACC00066,ACC00024,TED,2014.48,2026-04-20T06:36:37,INTERNET_BANKING
TRX0000077,ACC00009,,SAQUE,726.02,2026-04-17T02:31:37,APP
TRX0000078,ACC00114,,BOLETO,960.86,2026-03-08T05:55:37,APP
TRX0000079,ACC00080,,DEPOSITO,475.14,2026-04-24T07:26:37,APP
TRX0000080,ACC00067,ACC00034,PIX,356.34,2026-05-17T12:46:37,INTERNET_BANKING
TRX0000081,ACC00092,,CARTAO,5980.98,2026-03-26T12:49:37,ATM
TRX0000082,ACC00086,ACC00059,TED,513.74,2026-03-03T10:44:37,APP
TRX0000083,ACC00097,,CARTAO,1211.9,2026-03-13T01:15:37,APP
TRX0000084,ACC00073,ACC00010,PIX,1167.68,2026-05-11T07:01:37,APP
TRX0000085,ACC00065,,BOLETO,258.66,2026-03-07T02:36:37,APP
TRX0000086,ACC00009,ACC00048,PIX,235.01,2026-04-18T10:21:37,APP
TRX0000087,ACC00057,,BOLETO,1026.47,2026-03-21T09:32:37,ATM
TRX0000088,ACC00104,,DEPOSITO,252.72,2026-04-13T05:38:37,INTERNET_BANKING
TRX0000089,ACC00071,ACC00085,PIX,94.49,2026-03-04T05:44:37,APP
TRX0000090,ACC00113,ACC00015,PIX,2044.64,2026-04-16T17:08:37,INTERNET_BANKING
TRX0000091,ACC00096,ACC00035,PIX,1673.91,2026-05-05T00:10:37,CAIXA
TRX0000092,ACC00027,,BOLETO,1161.12,2026-03-17T17:01:37,ATM
TRX0000093,ACC00110,ACC00063,PIX,392.88,2026-04-29T06:37:37,APP
TRX0000094,ACC00117,,BOLETO,1072.29,2026-04-04T13:43:37,INTERNET_BANKING
TRX0000095,ACC00107,ACC00001,PIX,1537.86,2026-03-29T15:39:37,APP
TRX0000096,ACC00017,,CARTAO,330.98,2026-03-11T22:34:37,APP
TRX0000097,ACC00057,ACC00055,PIX,306.82,2026-05-07T06:06:37,APP
TRX0000098,ACC00015,ACC00114,PIX,318.85,2026-04-12T15:36:37,INTERNET_BANKING
TRX0000099,ACC00020,ACC00107,PIX,6677.66,2026-04-05T04:57:37,APP
TRX0000100,ACC00071,ACC00017,PIX,127.41,2026-04-16T04:21:37,APP
TRX0000101,ACC00047,,CARTAO,141.93,2026-03-07T13:42:37,INTERNET_BANKING
TRX0000102,ACC00006,ACC00027,TED,2037.48,2026-04-29T00:01:37,APP
TRX0000103,ACC00086,,SAQUE,1679.51,2026-03-20T23:08:37,APP
TRX0000104,ACC00112,ACC00080,PIX,138.79,2026-03-24T16:02:37,APP
TRX0000105,ACC00119,,BOLETO,1474.0,2026-04-10T04:52:37,INTERNET_BANKING
TRX0000106,ACC00103,ACC00113,PIX,1187.2,2026-04-28T17:34:37,APP
TRX0000107,ACC00023,ACC00043,PIX,1263.79,2026-03-27T17:10:37,APP
TRX0000108,ACC00053,ACC00111,PIX,291.8,2026-03-05T03:52:37,ATM
TRX0000109,ACC00032,ACC00101,PIX,190.4,2026-03-19T23:43:37,ATM
TRX0000110,ACC00049,ACC00110,PIX,2277.69,2026-03-10T10:30:37,INTERNET_BANKING
TRX0000111,ACC00026,ACC00059,PIX,1648.18,2026-04-28T14:52:37,ATM
TRX0000112,ACC00106,,DEPOSITO,426.59,2026-03-27T15:38:37,INTERNET_BANKING
TRX0000113,ACC00085,,BOLETO,364.44,2026-03-29T11:31:37,APP
TRX0000114,ACC00009,ACC00036,PIX,1342.12,2026-05-11T07:02:37,APP
TRX0000115,ACC00066,ACC00108,PIX,903.04,2026-05-18T00:21:37,APP
TRX0000116,ACC00004,,BOLETO,760.61,2026-05-06T04:28:37,APP
TRX0000117,ACC00034,ACC00077,PIX,298.16,2026-04-11T01:18:37,INTERNET_BANKING
TRX0000118,ACC00094,,CARTAO,2141.1,2026-03-25T04:12:37,INTERNET_BANKING
TRX0000119,ACC00066,ACC00116,TED,270.57,2026-04-13T12:05:37,APP
TRX0000120,ACC00033,,SAQUE,148.0,2026-05-22T23:32:37,ATM
TRX0000121,ACC00088,,SAQUE,8193.75,2026-04-12T07:50:37,APP
TRX0000122,ACC00026,ACC00009,PIX,311.06,2026-03-11T11:32:37,INTERNET_BANKING
TRX0000123,ACC00118,,CARTAO,216.71,2026-05-28T06:07:37,INTERNET_BANKING
TRX0000124,ACC00016,,BOLETO,467.25,2026-05-16T04:20:37,APP
TRX0000125,ACC00086,,SAQUE,962.33,2026-03-31T08:42:37,ATM
TRX0000126,ACC00071,,CARTAO,263.21,2026-04-24T10:48:37,INTERNET_BANKING
TRX0000127,ACC00049,,CARTAO,617.34,2026-05-15T00:29:37,APP
TRX0000128,ACC00073,,BOLETO,665.64,2026-05-07T10:13:37,CAIXA
TRX0000129,ACC00039,ACC00056,PIX,190.01,2026-05-24T09:30:37,APP
TRX0000130,ACC00078,ACC00060,TED,623.71,2026-03-09T23:56:37,CAIXA
TRX0000131,ACC00087,ACC00061,PIX,956.34,2026-04-09T23:20:37,INTERNET_BANKING
TRX0000132,ACC00102,ACC00085,PIX,211.8,2026-05-26T06:46:37,INTERNET_BANKING
TRX0000133,ACC00066,ACC00080,PIX,203.1,2026-03-21T12:08:37,ATM
TRX0000134,ACC00105,,DEPOSITO,1607.32,2026-04-16T18:56:37,INTERNET_BANKING
TRX0000135,ACC00029,ACC00019,PIX,533.72,2026-04-18T20:01:37,APP
TRX0000136,ACC00061,,DEPOSITO,16215.75,2026-03-15T15:06:37,APP
TRX0000137,ACC00054,ACC00074,PIX,3645.68,2026-05-07T22:10:37,INTERNET_BANKING
TRX0000138,ACC00090,,SAQUE,568.39,2026-05-28T02:03:37,APP
TRX0000139,ACC00084,ACC00115,PIX,359.87,2026-04-28T17:02:37,APP
TRX0000140,ACC00099,ACC00100,PIX,249.42,2026-03-04T18:35:37,APP
TRX0000141,ACC00023,,SAQUE,1348.5,2026-05-22T10:36:37,APP
TRX0000142,ACC00007,,CARTAO,964.55,2026-05-30T07:04:37,CAIXA
TRX0000143,ACC00059,,CARTAO,1174.45,2026-05-18T21:26:37,INTERNET_BANKING
TRX0000144,ACC00072,ACC00097,PIX,508.02,2026-03-12T19:21:37,INTERNET_BANKING
TRX0000145,ACC00079,ACC00115,PIX,487.58,2026-04-17T23:22:37,APP
TRX0000146,ACC00107,,SAQUE,2175.58,2026-03-05T07:46:37,INTERNET_BANKING
TRX0000147,ACC00096,ACC00058,PIX,987.62,2026-03-15T00:01:37,APP
TRX0000148,ACC00032,,BOLETO,1128.64,2026-04-01T17:21:37,INTERNET_BANKING
TRX0000149,ACC00067,,DEPOSITO,5743.61,2026-05-04T03:12:37,APP
TRX0000150,ACC00010,ACC00031,PIX,412.34,2026-03-06T18:54:37,CAIXA
TRX0000151,ACC00041,,BOLETO,261.28,2026-03-14T07:30:37,ATM
TRX0000152,ACC00030,,BOLETO,108.38,2026-05-06T03:06:37,ATM
TRX0000153,ACC00009,,CARTAO,6629.32,2026-05-27T18:23:37,APP
TRX0000154,ACC00054,,BOLETO,356.1,2026-03-28T20:13:37,APP
TRX0000155,ACC00116,ACC00090,PIX,2018.01,2026-03-21T06:54:37,APP
TRX0000156,ACCX56105,,CARTAO,31523.4,2026-04-08T10:55:37,ATM
TRX0000157,ACC00110,ACC00107,PIX,1701.15,2026-04-29T09:30:37,ATM
TRX0000158,ACC00096,,BOLETO,446.43,2026-03-03T05:45:37,INTERNET_BANKING
TRX0000159,ACC00029,,BOLETO,1034.31,2026-03-22T02:05:37,APP
TRX0000160,ACC00004,,CARTAO,1613.12,2026-03-21T07:07:37,ATM
TRX0000161,ACC00052,,BOLETO,605.9,2026-03-15T02:28:37,APP
TRX0000162,ACC00017,ACC00069,PIX,1478.27,2026-04-29T23:02:37,APP
TRX0000163,ACC00051,ACC00085,TED,998.3,2026-05-14T22:40:37,APP
TRX0000164,ACC00083,ACC00111,TED,354.28,2026-05-31T12:59:37,APP
TRX0000165,ACC00007,,CARTAO,718.65,2026-03-27T16:36:37,ATM
TRX0000166,ACC00042,ACC00113,TED,564.38,2026-05-12T01:42:37,ATM
TRX0000167,ACC00097,ACC00054,PIX,746.87,2026-03-10T14:29:37,APP
TRX0000168,ACC00011,ACC00096,TED,1488.1,2026-05-06T03:04:37,APP
TRX0000169,ACC00045,,BOLETO,4813.78,2026-03-29T17:34:37,APP
TRX0000170,ACC00084,ACC00004,PIX,482.25,2026-05-16T18:13:37,APP
TRX0000171,ACC00026,ACC00080,PIX,191.73,2026-05-23T12:00:37,ATM
TRX0000172,ACC00017,ACC00015,PIX,1309.23,2026-03-10T13:00:37,ATM
TRX0000173,ACC00028,ACC00033,PIX,540.69,2026-05-12T20:27:37,INTERNET_BANKING
TRX0000174,ACC00022,ACC00096,TED,2428.31,2026-03-22T23:24:37,ATM
TRX0000175,ACC00100,ACC00040,PIX,131.63,2026-05-17T14:38:37,INTERNET_BANKING
TRX0000176,ACC00004,ACC00074,PIX,2400.66,2026-05-03T19:38:37,APP
TRX0000177,ACC00049,ACC00092,PIX,2400.69,2026-05-12T16:29:37,APP
TRX0000178,ACC00076,,CARTAO,328.62,2026-04-24T20:39:37,APP
TRX0000179,ACC00090,,DEPOSITO,296.45,2026-03-19T08:57:37,CAIXA
TRX0000180,ACC00104,,CARTAO,621.53,2026-03-30T03:21:37,APP
TRX0000181,ACC00045,,BOLETO,340.2,2026-05-30T06:20:37,APP
TRX0000182,ACC00065,ACC00002,PIX,90.87,2026-05-16T12:50:37,ATM
TRX0000183,ACC00106,ACC00056,TED,218.49,2026-03-07T03:34:37,INTERNET_BANKING
TRX0000184,ACC00082,ACC00059,PIX,910.92,2026-03-03T12:20:37,APP
TRX0000185,ACC00056,ACC00067,PIX,572.38,2026-04-07T22:15:37,ATM
TRX0000186,ACC00035,,BOLETO,819.94,2026-04-26T12:38:37,APP
TRX0000187,ACC00062,,SAQUE,4460.43,2026-03-13T19:38:37,INTERNET_BANKING
TRX0000188,ACC00035,ACC00032,PIX,613.99,2026-05-13T18:52:37,APP
TRX0000189,ACC00012,ACC00058,PIX,1245.54,2026-04-24T19:00:37,ATM
TRX0000190,ACC00060,,SAQUE,312.44,2026-04-13T15:14:37,INTERNET_BANKING
TRX0000191,ACC00004,ACC00042,PIX,100.06,2026-04-15T14:29:37,ATM
TRX0000192,ACC00028,,SAQUE,765.26,2026-03-09T08:28:37,INTERNET_BANKING
TRX0000193,ACC00113,ACC00113,PIX,761.47,2026-04-26T23:59:37,ATM
TRX0000194,ACC00002,ACC00025,PIX,293.91,2026-04-28T08:18:37,APP
TRX0000195,ACC00093,ACC00072,PIX,1588.5,2026-03-22T02:10:37,APP
TRX0000196,ACC00089,ACC00092,TED,479.1,2026-03-15T22:55:37,INTERNET_BANKING
TRX0000197,ACC00102,ACC00038,PIX,197.16,2026-05-18T09:46:37,INTERNET_BANKING
TRX0000198,ACC00089,ACC00085,PIX,230.81,2026-03-21T19:57:37,CAIXA
TRX0000199,ACC00061,ACC00045,PIX,907.9,2026-03-27T21:14:37,APP
TRX0000200,ACC00096,ACC00046,PIX,4275.55,2026-03-21T02:11:37,INTERNET_BANKING
TRX0000201,ACC00035,ACC00030,PIX,548.96,2026-03-26T07:13:37,ATM
TRX0000202,ACC00025,,SAQUE,508.08,2026-04-30T10:33:37,ATM
TRX0000203,ACC00098,ACC00025,PIX,126.8,2026-03-30T04:54:37,APP
TRX0000204,ACC00062,ACC00076,PIX,394.24,2026-05-22T22:20:37,APP
TRX0000205,ACC00068,ACC00013,PIX,2593.61,2026-03-12T01:54:37,INTERNET_BANKING
TRX0000206,ACC00038,,SAQUE,710.56,2026-04-26T05:07:37,APP
TRX0000207,ACC00091,,BOLETO,136.47,2026-05-06T09:27:37,ATM
TRX0000208,ACC00007,ACC00090,PIX,954.4,2026-04-21T06:03:37,APP
TRX0000209,ACC00082,ACC00063,TED,468.27,2026-04-07T08:10:37,CAIXA
TRX0000210,ACC00002,ACC00061,PIX,541.67,2026-03-24T11:42:37,APP
TRX0000211,ACC00044,,CARTAO,1366.59,2026-05-25T10:26:37,APP
TRX0000212,ACC00111,ACC00106,PIX,508.23,2026-05-18T22:15:37,APP
TRX0000213,ACC00063,ACC00081,PIX,454.45,2026-05-17T06:41:37,APP
TRX0000214,ACC00020,,CARTAO,255.18,2026-03-27T22:49:37,APP
TRX0000215,ACC00011,ACC00016,PIX,984.81,2026-05-07T11:58:37,CAIXA
TRX0000216,ACC00054,ACC00102,PIX,1883.75,2026-05-09T19:22:37,APP
TRX0000217,ACC00100,ACC00058,PIX,45.58,2026-05-25T07:07:37,APP
TRX0000218,ACC00039,,BOLETO,422.07,2026-04-03T11:47:37,ATM
TRX0000219,ACC00080,,DEPOSITO,224.5,2026-05-08T18:27:37,INTERNET_BANKING
TRX0000220,ACC00098,ACC00028,PIX,257.3,2026-03-15T11:08:37,APP
TRX0000221,ACC00011,ACC00023,PIX,455.19,2026-03-29T18:55:37,APP
TRX0000222,ACCX69048,ACC00089,TED,173.77,2026-03-14T02:45:37,APP
TRX0000223,ACC00038,,CARTAO,1426.31,2026-05-29T10:48:37,APP
TRX0000224,ACC00090,,DEPOSITO,1678.46,2026-04-29T04:21:37,APP
TRX0000225,ACC00119,ACC00102,TED,1562.79,2026-03-12T19:33:37,ATM
TRX0000226,ACC00085,ACC00026,PIX,301.24,2026-05-31T20:23:37,INTERNET_BANKING
TRX0000227,ACC00070,,CARTAO,1180.84,2026-05-12T02:01:37,INTERNET_BANKING
TRX0000228,ACC00106,,DEPOSITO,1050.2,2026-04-30T11:58:37,APP
TRX0000229,ACC00040,,DEPOSITO,602.47,2026-05-05T03:48:37,CAIXA
TRX0000230,ACC00037,ACC00060,PIX,219.48,2026-03-09T20:02:37,ATM
TRX0000231,ACC00090,ACC00035,PIX,904.71,2026-05-04T16:44:37,APP
TRX0000232,ACC00064,ACC00077,TED,575.1,2026-05-02T00:33:37,APP
TRX0000233,ACC00056,,BOLETO,231.76,2026-04-29T19:37:37,APP
TRX0000234,ACC00012,,BOLETO,770.39,2026-04-25T09:30:37,APP
TRX0000235,ACC00074,ACC00003,PIX,1960.57,2026-05-08T15:45:37,INTERNET_BANKING
TRX0000236,ACC00087,,BOLETO,396.79,2026-05-01T15:11:37,INTERNET_BANKING
TRX0000237,ACC00097,ACC00067,PIX,114.65,2026-04-30T21:13:37,INTERNET_BANKING
TRX0000238,ACC00118,ACC00075,PIX,2281.65,2026-03-12T06:05:37,APP
TRX0000239,ACC00105,,CARTAO,1596.4,2026-03-04T21:15:37,APP
TRX0000240,ACC00053,,CARTAO,991.94,2026-05-31T14:21:37,APP
TRX0000241,ACC00021,ACC00089,PIX,551.07,2026-04-19T09:34:37,CAIXA
TRX0000242,ACC00085,,BOLETO,993.81,2026-04-10T23:04:37,CAIXA
TRX0000243,ACC00005,ACC00041,PIX,835.1,2026-03-07T01:57:37,INTERNET_BANKING
TRX0000244,ACC00015,,BOLETO,3769.76,2026-04-15T10:44:37,INTERNET_BANKING
TRX0000245,ACC00106,,CARTAO,993.34,2026-03-18T02:52:37,APP
TRX0000246,ACC00060,,SAQUE,126.98,2026-03-12T14:03:37,ATM
TRX0000247,ACC00080,,DEPOSITO,2091.17,2026-03-14T21:36:37,APP
TRX0000248,ACC00007,,BOLETO,906.43,2026-03-23T17:26:37,APP
TRX0000249,ACC00037,,CARTAO,2920.26,2026-05-30T21:03:37,APP
TRX0000250,ACC00004,ACC00078,PIX,341.35,2026-05-25T14:41:37,ATM
TRX0000251,ACC00091,,CARTAO,460.97,2026-04-06T09:38:37,APP
TRX0000252,ACC00012,,BOLETO,3272.43,2026-05-25T14:09:37,INTERNET_BANKING
TRX0000253,ACC00060,,BOLETO,321.57,2026-05-02T09:45:37,APP
TRX0000254,ACC00064,,BOLETO,765.63,2026-04-26T10:14:37,APP
TRX0000255,ACC00035,,DEPOSITO,3109.12,2026-04-26T16:08:37,APP
TRX0000256,ACC00032,,SAQUE,1399.14,2026-05-13T01:57:37,INTERNET_BANKING
TRX0000257,ACC00118,,BOLETO,143.9,2026-04-08T12:35:37,APP
TRX0000258,ACC00111,,DEPOSITO,590.3,2026-05-11T17:31:37,INTERNET_BANKING
TRX0000259,ACC00054,ACC00101,TED,343.64,2026-04-03T09:03:37,INTERNET_BANKING
TRX0000260,ACCX49132,,CARTAO,689.58,2026-05-06T08:17:37,APP
TRX0000261,ACC00085,ACC00020,PIX,754.69,2026-04-23T08:00:37,ATM
TRX0000262,ACC00062,,SAQUE,122.21,2026-04-08T05:06:37,APP
TRX0000263,ACC00049,,DEPOSITO,10307.96,2026-03-17T12:22:37,APP
TRX0000264,ACC00090,,CARTAO,914.49,2026-03-14T18:07:37,APP
TRX0000265,ACC00100,ACC00041,TED,3022.78,2026-04-22T00:02:37,APP
TRX0000266,ACC00091,ACC00049,PIX,276.51,2026-03-17T06:51:37,APP
TRX0000267,ACC00085,ACC00084,PIX,197.73,2026-03-26T19:15:37,APP
TRX0000268,ACC00064,ACC00017,PIX,1865.38,2026-03-19T17:31:37,INTERNET_BANKING
TRX0000269,ACC00076,,BOLETO,631.92,2026-05-19T12:39:37,APP
TRX0000270,ACC00057,ACC00117,PIX,687.44,2026-03-10T07:54:37,INTERNET_BANKING
TRX0000271,ACC00093,ACC00112,TED,1060.14,2026-05-04T22:42:37,CAIXA
TRX0000272,ACC00020,,CARTAO,351.97,2026-03-08T16:40:37,INTERNET_BANKING
TRX0000273,ACC00044,,BOLETO,1492.64,2026-03-31T05:23:37,APP
TRX0000274,ACC00110,,CARTAO,534.57,2026-03-28T00:06:37,CAIXA
TRX0000275,ACC00049,ACC00081,PIX,742.53,2026-04-22T13:10:37,APP
TRX0000276,ACC00098,,DEPOSITO,635.39,2026-05-18T05:27:37,INTERNET_BANKING
TRX0000277,ACC00009,ACC00088,PIX,2234.83,2026-04-01T18:36:37,APP
TRX0000278,ACC00030,,CARTAO,299.8,2026-03-11T12:21:37,APP
TRX0000279,ACC00098,ACC00112,PIX,487.62,2026-05-20T15:19:37,ATM
TRX0000280,ACC00022,,DEPOSITO,4142.65,2026-05-05T13:21:37,CAIXA
TRX0000281,ACC00042,,DEPOSITO,406.59,2026-04-26T15:31:37,INTERNET_BANKING
TRX0000282,ACC00056,ACC00068,PIX,764.78,2026-03-23T03:41:37,APP
TRX0000283,ACC00088,ACC00022,PIX,1151.39,2026-04-16T08:53:37,APP
TRX0000284,ACC00079,,DEPOSITO,290.78,2026-04-05T03:16:37,INTERNET_BANKING
TRX0000285,ACC00064,ACC00019,TED,1796.32,2026-05-23T13:33:37,INTERNET_BANKING
TRX0000286,ACC00082,,BOLETO,680.14,2026-05-23T14:28:37,INTERNET_BANKING
TRX0000287,ACC00116,,CARTAO,212.95,2026-04-04T14:37:37,INTERNET_BANKING
TRX0000288,ACC00070,,SAQUE,2124.76,2026-04-07T16:33:37,INTERNET_BANKING
TRX0000289,ACC00076,,CARTAO,688.48,2026-05-21T05:29:37,CAIXA
TRX0000290,ACC00059,ACC00026,PIX,956.77,2026-03-08T01:10:37,INTERNET_BANKING
TRX0000291,ACC00110,,CARTAO,1568.16,2026-05-29T18:05:37,APP
TRX0000292,ACC00046,,SAQUE,759.54,2026-04-09T21:31:37,APP
TRX0000293,ACC00107,,SAQUE,4171.02,2026-04-15T21:01:37,APP
TRX0000294,ACC00117,ACC00064,PIX,6839.82,2026-03-14T21:23:37,APP
TRX0000295,ACC00116,ACC00103,PIX,316.49,2026-04-01T10:40:37,INTERNET_BANKING
TRX0000296,ACC00103,ACC00082,PIX,1012.67,2026-04-13T03:59:37,APP
TRX0000297,ACC00033,ACC00093,TED,2438.23,2026-04-22T14:13:37,APP
TRX0000298,ACC00088,ACC00081,PIX,1027.86,2026-04-30T12:43:37,APP
TRX0000299,ACC00081,,DEPOSITO,1239.83,2026-05-06T00:59:37,APP
TRX0000300,ACC00005,ACC00094,TED,1924.93,2026-03-31T00:24:37,INTERNET_BANKING
TRX0000301,ACC00117,ACC00096,PIX,171.27,2026-05-11T20:22:37,APP
TRX0000302,ACC00026,ACC00070,PIX,198.53,2026-03-05T16:21:37,ATM
TRX0000303,ACC00047,,SAQUE,868.24,2026-04-20T22:47:37,INTERNET_BANKING
TRX0000304,ACC00022,,SAQUE,1395.93,2026-03-22T03:18:37,APP
TRX0000305,ACC00104,,BOLETO,190.48,2026-04-02T00:36:37,APP
TRX0000306,ACC00015,,BOLETO,2062.32,2026-05-13T03:07:37,APP
TRX0000307,ACC00029,ACC00093,PIX,669.69,2026-04-06T12:23:37,APP
TRX0000308,ACC00051,,BOLETO,64.8,2026-05-15T09:48:37,APP
TRX0000309,ACC00012,,SAQUE,724.15,2026-05-22T05:32:37,APP
TRX0000310,ACC00016,,BOLETO,1742.68,2026-03-31T05:34:37,APP
TRX0000311,ACC00034,,BOLETO,303.0,2026-05-31T08:57:37,APP
TRX0000312,ACC00048,,DEPOSITO,389.62,2026-03-09T22:14:37,APP
TRX0000313,ACC00080,,SAQUE,142.26,2026-03-14T23:09:37,CAIXA
TRX0000314,ACC00079,,SAQUE,398.08,2026-05-01T14:07:37,ATM
TRX0000315,ACC00060,,BOLETO,397.79,2026-03-04T21:08:37,APP
